PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO,NEW_KATEGORIJA,OLD_KATEGORIJA
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,5.886184,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,5.206870249999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,5.8944015,OSTALO,
BOXMASTER HS BOX,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,4.867397249999999,OSTALO,
,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,5.554253500000002,OSTALO,
BOXMASTER OR BOX,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,4.89576225,OSTALO,
,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,5.5832935,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,4.34734775,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,5.034878999999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,4.29790825,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,4.985439499999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,3.997310749999999,OSTALO,
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,4.684841999999999,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,4.026013249999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,4.713544499999999,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,4.161800249999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,4.848806499999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752,SOS,OSTALO
,,,,,,4.455010249999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752,SOS,OSTALO
,,,,,,5.142541499999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,3.509810249999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,4.227341499999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,4.11932415,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,4.836855399999999,OSTALO,
,,,,,,1.5928535,OSTALO,
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,1.6928535,OSTALO,
,,,,,,0.9917121000000001,OSTALO,
HOT WINGS 3 pc D,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,1.0917121,OSTALO,
,,,,,,2.608709999999999,OSTALO,
,,,,,,2.73871,OSTALO,
CRISPY STRIPS 3 pc D,,,,,,1.601226,OSTALO,
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,1.701226,OSTALO,
COLESLAW SALAD,"Coleslaw mixed (washed, packed)",POVRĆE,0.104,KG,3.07,0.31928,SIDES/DODACI,POVRĆE
,,,,,,0.7353999999999999,OSTALO,
COLESLAW SALAD D,"Coleslaw mixed (washed, packed)",POVRĆE,0.104,KG,3.07,0.31928,SIDES/DODACI,POVRĆE
,,,,,,0.7353999999999999,OSTALO,
FRIES SMALL,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,0.2921216,OSTALO,
FRIES MEDIUM,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,0.467004,OSTALO,
FRIES MEDIUM D,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,0.467004,OSTALO,
FRIES LARGE,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.29695,KG,2.58,0.766131,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.00182,KG,1.38,0.0025116,ZAČINI,OSTALO
,,,,,,1.0837002,OSTALO,
FRIES LARGE D,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.29695,KG,2.58,0.766131,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.00182,KG,1.38,0.0025116,ZAČINI,OSTALO
,,,,,,1.0837002,OSTALO,
,Onion rings-paket,POVRĆE,0.10002,KG,7.13,0.7131426,SIDES/DODACI,POVRĆE
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,0.9323906,OSTALO,
,Onion rings-paket,POVRĆE,0.10002,KG,7.13,0.7131426,SIDES/DODACI,POVRĆE
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,0.9323906,OSTALO,
,Onion rings-paket,POVRĆE,0.15003,KG,7.13,1.0697139,SIDES/DODACI,POVRĆE
,,,,,,1.4135859,OSTALO,
ONION RINGS / 9 kom D,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,Onion rings-paket,POVRĆE,0.15003,KG,7.13,1.0697139,SIDES/DODACI,POVRĆE
,,,,,,1.5135859,OSTALO,
CORN,Corn Sticks,POVRĆE,1.0,KOM,0.03,0.03,SIDES/DODACI,POVRĆE
,Half corn on the cob,POVRĆE,1.0,KOM,0.44,0.44,SIDES/DODACI,POVRĆE
,,,,,,0.7238,OSTALO,
CORN D,Corn Sticks,POVRĆE,1.0,KOM,0.03,0.03,SIDES/DODACI,POVRĆE
,Half corn on the cob,POVRĆE,1.0,KOM,0.44,0.44,SIDES/DODACI,POVRĆE
,,,,,,0.7238,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,,,,,,0.4812,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,1.50125,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,1.25885,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,1.65885,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,0.43885,OSTALO,
KIDS MENU 2,"Yippy Junior orange 0,2",OSTALO,1.0,KOM,0.44,0.44,PIĆE,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,1.9496056,OSTALO,
KIDS MENU 2 D,"Yippy Junior orange 0,2",OSTALO,1.0,KOM,0.44,0.44,PIĆE,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,2.0496056,OSTALO,
KIDS MENU 3,"Yippy Junior orange 0,2",OSTALO,1.0,KOM,0.44,0.44,PIĆE,OSTALO
,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,KFC Fries 9/9- paket,OSTALO,0.0891,KG,2.58,0.229878,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,2.1072614,OSTALO,
KIDS MENU 3 D,"Yippy Junior orange 0,2",OSTALO,1.0,KOM,0.44,0.44,PIĆE,OSTALO
,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,KFC Fries 9/9- paket,OSTALO,0.0891,KG,2.58,0.229878,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,2.1998214,OSTALO,
KIDS MENU 1,"Yippy Junior orange 0,2",OSTALO,1.0,KOM,0.44,0.44,PIĆE,OSTALO
,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,2.0678536,OSTALO,
KIDS MENU 1 D,"Yippy Junior orange 0,2",OSTALO,1.0,KOM,0.44,0.44,PIĆE,OSTALO
,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,2.416763599999999,OSTALO,
,,,,,,0.9308120000000001,OSTALO,
ICE CREAM STRAWBERRY,,,,,,1.081361,OSTALO,
,Strawberry Gel KFC,AMBALAŽA,0.021,KG,8.57,0.17997,DESERT,AMBALAŽA
,,,,,,0.8732420000000001,OSTALO,
,,,,,,0.8800000000000001,OSTALO,
,,,,,,0.8600000000000001,OSTALO,
,,,,,,0.9600000000000001,OSTALO,
,,,,,,0.9400000000000001,OSTALO,
,,,,,,1.060281,OSTALO,
,,,,,,1.060281,OSTALO,
,Strawberry Gel KFC,AMBALAŽA,0.0193,KG,8.57,0.165401,DESERT,AMBALAŽA
,,,,,,0.992345,OSTALO,
,Strawberry Gel KFC,AMBALAŽA,0.0193,KG,8.57,0.165401,DESERT,AMBALAŽA
,,,,,,0.992345,OSTALO,
,,,,,,0.9697640000000001,OSTALO,
,,,,,,0.9697640000000001,OSTALO,
,,,,,,1.619458,OSTALO,
,,,,,,1.619458,OSTALO,
,Strawberry Gel KFC,AMBALAŽA,0.0321,KG,8.57,0.275097,DESERT,AMBALAŽA
,,,,,,1.506466,OSTALO,
,Strawberry Gel KFC,AMBALAŽA,0.0321,KG,8.57,0.275097,DESERT,AMBALAŽA
,,,,,,1.506466,OSTALO,
,,,,,,1.468909,OSTALO,
,,,,,,1.468909,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,0.4424687500000001,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,0.4424687500000001,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,0.4424687500000001,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,0.5003144500000001,OSTALO,
,"Čaša 0,5 l-Paket",OSTALO,1.0,KOM,0.09,0.09,AMBALAŽA,OSTALO
,,,,,,0.6029042000000001,OSTALO,
,"Čaša 0,5 l-Paket",OSTALO,1.0,KOM,0.09,0.09,AMBALAŽA,OSTALO
,,,,,,0.5305847,OSTALO,
,"Čaša 0,5 l-Paket",OSTALO,1.0,KOM,0.09,0.09,AMBALAŽA,OSTALO
,,,,,,0.5305847,OSTALO,
,"Čaša 0,5 l-Paket",OSTALO,1.0,KOM,0.09,0.09,AMBALAŽA,OSTALO
,,,,,,0.5305847,OSTALO,
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,1.4496056,OSTALO,
SCHOOL MENU 1,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,1.44423,OSTALO,
SCHOOL MENU 2,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,1.612736,OSTALO,
M PAKET,Fries Bucket KFC,AMBALAŽA,2.0,KOM,0.19,0.38,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.17818,KG,2.58,0.4597044,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,2.0,KOM,0.01,0.02,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.0011,KG,1.38,0.001518,ZAČINI,OSTALO
,Fries Bucket KFC,AMBALAŽA,3.0,KOM,0.19,0.5700000000000001,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.8908499999999999,KG,2.58,2.298393,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.00546,KG,1.38,0.007534799999999999,ZAČINI,OSTALO
,,,,,,11.3477318,OSTALO,
L PAKET,Fries Bucket KFC,AMBALAŽA,3.0,KOM,0.19,0.5700000000000001,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.26727,KG,2.58,0.6895566000000001,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,3.0,KOM,0.01,0.03,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00165,KG,1.38,0.002277,ZAČINI,OSTALO
,Fries Bucket KFC,AMBALAŽA,4.0,KOM,0.19,0.76,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,1.1878,KG,2.58,3.064524,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.00728,KG,1.38,0.0100464,ZAČINI,OSTALO
,,,,,,16.4797476,OSTALO,
XL PAKET,Fries Bucket KFC,AMBALAŽA,2.0,KOM,0.19,0.38,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.17818,KG,2.58,0.4597044,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,2.0,KOM,0.01,0.02,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.0011,KG,1.38,0.001518,ZAČINI,OSTALO
,Fries Bucket KFC,AMBALAŽA,4.0,KOM,0.19,0.76,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,1.1878,KG,2.58,3.064524,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.00728,KG,1.38,0.0100464,ZAČINI,OSTALO
,Fries Bucket KFC,AMBALAŽA,2.0,KOM,0.19,0.38,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.17818,KG,2.58,0.4597044,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,2.0,KOM,0.01,0.02,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.0011,KG,1.38,0.001518,ZAČINI,OSTALO
,,,,,,17.541915,OSTALO,
XXL PAKET,Fries Bucket KFC,AMBALAŽA,3.0,KOM,0.19,0.5700000000000001,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.26727,KG,2.58,0.6895566000000001,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,3.0,KOM,0.01,0.03,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00165,KG,1.38,0.002277,ZAČINI,OSTALO
,Fries Bucket KFC,AMBALAŽA,3.0,KOM,0.19,0.5700000000000001,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.26727,KG,2.58,0.6895566000000001,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,3.0,KOM,0.01,0.03,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00165,KG,1.38,0.002277,ZAČINI,OSTALO
