PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO
DOUBLE CHEESEBURGER D,Pileće Meso Strips,MESO,2.0,KOM,0.43,0.86
,TMOR MARINADE,MARINADA,0.0016,KG,9.3,0.01488
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0214,KG,0.97,0.020758
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0046,KG,12.05,0.05543
,Shortening KFC,ULJE,0.0164,L,3.44,0.056416
,"BUN 4"" with sesame 48 pcs/box",PECIVO,1.0,KOM,0.22,0.22
,Sliced cheese KFC,SIR,2.0,KOM,0.14,0.28
,Ketchup-paket,SOS,0.0192,KG,4.54,0.087168
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Onion ( washed, cut, packed)",POVRĆE,0.00305,KG,10.5,0.032025
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0058,KG,3.84,0.022272
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,,,,,,1.698949
CLASSIC BURGER,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,TMOR MARINADE,MARINADA,0.0015,KG,9.3,0.01395
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0231,KG,0.97,0.022407
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0049,KG,12.05,0.059045
,Shortening KFC,ULJE,0.0146,KG,3.44,0.050224
,"BUN 4"" with sesame 48 pcs/box",PECIVO,1.0,KOM,0.22,0.22
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,,,,,,1.563687
CLASSIC BURGER D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,TMOR MARINADE,MARINADA,0.0015,KG,9.3,0.01395
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0231,KG,0.97,0.022407
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0049,KG,12.05,0.059045
,Shortening KFC,ULJE,0.0146,KG,3.44,0.050224
,"BUN 4"" with sesame 48 pcs/box",PECIVO,1.0,KOM,0.22,0.22
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,,,,,,1.563687
ZINGER BURGER,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,"BUN 4"" with sesame 48 pcs/box",PECIVO,1.0,KOM,0.22,0.22
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,,,,,,1.5351345
ZINGER BURGER D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,"BUN 4"" with sesame 48 pcs/box",PECIVO,1.0,KOM,0.22,0.22
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,,,,,,1.5351345
TWISTER OR,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso Strips,MESO,2.0,KOM,0.43,0.86
,TMOR MARINADE,MARINADA,0.0016,KG,9.3,0.01488
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0214,KG,0.97,0.020758
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0046,KG,12.05,0.05543
,Shortening KFC,ULJE,0.0164,L,3.44,0.056416
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,1.835582
TWISTER OR D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso Strips,MESO,2.0,KOM,0.43,0.86
,TMOR MARINADE,MARINADA,0.0016,KG,9.3,0.01488
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0214,KG,0.97,0.020758
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0046,KG,12.05,0.05543
,Shortening KFC,ULJE,0.0164,L,3.44,0.056416
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,1.835582
TWISTER H&S,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,1.8851715
TWISTER HS D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,1.8851715
BOXMASTER OR,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21
,"MAYONNAISE 4X0,95",SOS,0.0288,KG,6.22,0.179136
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,TMOR MARINADE,MARINADA,0.0015,KG,9.3,0.01395
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0231,KG,0.97,0.022407
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0049,KG,12.05,0.059045
,Shortening KFC,ULJE,0.0146,KG,3.44,0.050224
,Boxmaster pakovanje,AMBALAŽA,1.0,KOM,0.13,0.13
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,,,,,,2.433436
BOXMASTER OR D,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21
,"MAYONNAISE 4X0,95",SOS,0.0288,KG,6.22,0.179136
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,TMOR MARINADE,MARINADA,0.0015,KG,9.3,0.01395
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0231,KG,0.97,0.022407
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0049,KG,12.05,0.059045
,Shortening KFC,ULJE,0.0146,KG,3.44,0.050224
,Boxmaster pakovanje,AMBALAŽA,1.0,KOM,0.13,0.13
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
